
Smileys and people

😀; Grinning face; U+1F600; UTF-8: F0 9F 98 80
😬; Grimacing face; U+1F62C; UTF-8: F0 9F 98 AC
😁; Grinning face with smiling eyes; U+1F601; UTF-8: F0 9F 98 81
😂; Face with tears of joy; U+1F602; UTF-8: F0 9F 98 82
😃; Smiling face with open mouth; U+1F603; UTF-8: F0 9F 98 83
😄; Smiling face with open mouth and smiling eyes; U+1F604; UTF-8: F0 9F 98 84
😅; Smiling face with open mouth and cold sweat; U+1F605; UTF-8: F0 9F 98 85
😆; Smiling face with open mouth and tightly-closed eyes; U+1F606; UTF-8: F0 9F 98 86
😇; Smiling face with halo; U+1F607; UTF-8: F0 9F 98 87
😉; Winking face; U+1F609; UTF-8: F0 9F 98 89
😊; Smiling face with smiling eyes; U+1F60A; UTF-8: F0 9F 98 8A
🙂; Slightly smiling face; U+1F642; UTF-8: F0 9F 99 82
🙃; Upside-down face; U+1F643; UTF-8: F0 9F 99 83
☺️; Smiling face; U+263A U+FE0F; UTF-8: E2 98 BA EF B8 8F
😋; Face savouring delicious food; U+1F60B; UTF-8: F0 9F 98 8B
😌; Relieved face; U+1F60C; UTF-8: F0 9F 98 8C
😍; Smiling face with heart-shaped eyes; U+1F60D; UTF-8: F0 9F 98 8D
😘; Face throwing a kiss; U+1F618; UTF-8: F0 9F 98 98
😗; Kissing face; U+1F617; UTF-8: F0 9F 98 97
😙; Kissing face with smiling eyes; U+1F619; UTF-8: F0 9F 98 99
😚; Kissing face with closed eyes; U+1F61A; UTF-8: F0 9F 98 9A
😜; Face with stuck-out tongue and winking eye; U+1F61C; UTF-8: F0 9F 98 9C
😝; Face with stuck-out tongue and tightly-closed eyes; U+1F61D; UTF-8: F0 9F 98 9D
😛; Face with stuck-out tongue; U+1F61B; UTF-8: F0 9F 98 9B
🤑; Money-mouth face; U+1F911; UTF-8: F0 9F A4 91
🤓; Nerd face; U+1F913; UTF-8: F0 9F A4 93
😎; Smiling face with sunglasses; U+1F60E; UTF-8: F0 9F 98 8E
🤗; Hugging face; U+1F917; UTF-8: F0 9F A4 97
😏; Smirking face; U+1F60F; UTF-8: F0 9F 98 8F
😶; Face without mouth; U+1F636; UTF-8: F0 9F 98 B6
😐; Neutral face; U+1F610; UTF-8: F0 9F 98 90
😑; Expressionless face; U+1F611; UTF-8: F0 9F 98 91
😒; Unamused face; U+1F612; UTF-8: F0 9F 98 92
🙄; Face with rolling eyes; U+1F644; UTF-8: F0 9F 99 84
🤔; Thinking face; U+1F914; UTF-8: F0 9F A4 94
😳; Flushed face; U+1F633; UTF-8: F0 9F 98 B3
😞; Disappointed face; U+1F61E; UTF-8: F0 9F 98 9E
😟; Worried face; U+1F61F; UTF-8: F0 9F 98 9F
😠; Angry face; U+1F620; UTF-8: F0 9F 98 A0
😡; Pouting face; U+1F621; UTF-8: F0 9F 98 A1
😔; Pensive face; U+1F614; UTF-8: F0 9F 98 94
😕; Confused face; U+1F615; UTF-8: F0 9F 98 95
🙁; Slightly frowning face; U+1F641; UTF-8: F0 9F 99 81
☹️; White frowning face; U+2639 U+FE0F; UTF-8: E2 98 B9 EF B8 8F
😣; Persevering face; U+1F623; UTF-8: F0 9F 98 A3
😖; Confounded face; U+1F616; UTF-8: F0 9F 98 96
😫; Tired face; U+1F62B; UTF-8: F0 9F 98 AB
😩; Weary face; U+1F629; UTF-8: F0 9F 98 A9
😤; Face with look of triumph; U+1F624; UTF-8: F0 9F 98 A4
😮; Face with open mouth; U+1F62E; UTF-8: F0 9F 98 AE
😱; Face screaming in fear; U+1F631; UTF-8: F0 9F 98 B1
😨; Fearful face; U+1F628; UTF-8: F0 9F 98 A8
😰; Face with open mouth and cold sweat; U+1F630; UTF-8: F0 9F 98 B0
😯; Hushed face; U+1F62F; UTF-8: F0 9F 98 AF
😦; Frowning face with open mouth; U+1F626; UTF-8: F0 9F 98 A6
😧; Anguished face; U+1F627; UTF-8: F0 9F 98 A7
😢; Crying face; U+1F622; UTF-8: F0 9F 98 A2
😥; Disappointed but relieved face; U+1F625; UTF-8: F0 9F 98 A5
😪; Sleepy face; U+1F62A; UTF-8: F0 9F 98 AA
😓; Face with cold sweat; U+1F613; UTF-8: F0 9F 98 93
😭; Loudly crying face; U+1F62D; UTF-8: F0 9F 98 AD
😵; Dizzy face; U+1F635; UTF-8: F0 9F 98 B5
😲; Astonished face; U+1F632; UTF-8: F0 9F 98 B2
🤐; Zipper-mouth face; U+1F910; UTF-8: F0 9F A4 90
😷; Face with medical mask; U+1F637; UTF-8: F0 9F 98 B7
🤒; Face with thermometer; U+1F912; UTF-8: F0 9F A4 92
🤕; Face with head-bandage; U+1F915; UTF-8: F0 9F A4 95
😴; Sleeping face; U+1F634; UTF-8: F0 9F 98 B4
